######################################
Exploring the best parameters for the kernel blur2
using urrot2_neon_div8_u16
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,64,64,1,static,1,10132.228
cortex,64,64,2,static,1,5102.189
cortex,64,64,3,static,1,3356.328
cortex,64,64,4,static,1,3161.029
denver,64,64,1,static,1,8417.615
denver,64,64,2,static,1,4557.670
full_system,64,64,6,static,1,2062.213
cortex,64,128,1,static,1,4838.976
cortex,64,128,2,static,1,2942.585
cortex,64,128,3,static,1,1698.695
cortex,64,128,4,static,1,1845.408
denver,64,128,1,static,1,4235.460
denver,64,128,2,static,1,2427.676
full_system,64,128,6,static,1,1268.009
cortex,64,256,1,static,1,2446.349
cortex,64,256,2,static,1,1651.932
cortex,64,256,3,static,1,896.736
cortex,64,256,4,static,1,1119.518
denver,64,256,1,static,1,2007.578
denver,64,256,2,static,1,1324.818
full_system,64,256,6,static,1,705.708
cortex,64,512,1,static,1,1309.808
cortex,64,512,2,static,1,949.756
cortex,64,512,3,static,1,500.245
cortex,64,512,4,static,1,548.531
denver,64,512,1,static,1,948.329
denver,64,512,2,static,1,842.840
full_system,64,512,6,static,1,598.360
cortex,64,1024,1,static,1,664.391
cortex,64,1024,2,static,1,351.692
cortex,64,1024,3,static,1,268.110
cortex,64,1024,4,static,1,179.446
denver,64,1024,1,static,1,351.578
denver,64,1024,2,static,1,185.216
full_system,64,1024,6,static,1,315.755
cortex,128,64,1,static,1,10388.636
cortex,128,64,2,static,1,5301.656
cortex,128,64,3,static,1,3450.321
cortex,128,64,4,static,1,3181.992
denver,128,64,1,static,1,8568.758
denver,128,64,2,static,1,4601.259
full_system,128,64,6,static,1,2104.751
cortex,128,128,1,static,1,4951.853
cortex,128,128,2,static,1,2978.551
cortex,128,128,3,static,1,1816.651
cortex,128,128,4,static,1,1840.250
denver,128,128,1,static,1,4174.683
denver,128,128,2,static,1,2460.447
full_system,128,128,6,static,1,1338.670
cortex,128,256,1,static,1,2476.756
cortex,128,256,2,static,1,1583.471
cortex,128,256,3,static,1,958.966
cortex,128,256,4,static,1,1141.738
denver,128,256,1,static,1,2012.948
denver,128,256,2,static,1,1401.302
full_system,128,256,6,static,1,842.658
cortex,128,512,1,static,1,1231.068
cortex,128,512,2,static,1,959.944
cortex,128,512,3,static,1,519.191
cortex,128,512,4,static,1,492.563
denver,128,512,1,static,1,891.553
denver,128,512,2,static,1,786.982
full_system,128,512,6,static,1,551.079
cortex,128,1024,1,static,1,619.823
cortex,128,1024,2,static,1,335.893
cortex,128,1024,3,static,1,215.241
cortex,128,1024,4,static,1,169.527
denver,128,1024,1,static,1,292.218
denver,128,1024,2,static,1,151.925
full_system,128,1024,6,static,1,212.920
cortex,256,64,1,static,1,11596.862
cortex,256,64,2,static,1,5842.666
cortex,256,64,3,static,1,3878.725
cortex,256,64,4,static,1,3234.626
