######################################
Exploring the best parameters for the kernel mandel
using default
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,64,64,1,static,1,12613.187
cortex,64,64,2,static,1,6537.622
cortex,64,64,3,static,1,4441.621
cortex,64,64,4,static,1,3898.225
denver,64,64,1,static,1,9531.558
denver,64,64,2,static,1,4941.313
full_system,64,64,6,static,1,2840.531
cortex,64,128,1,static,1,12662.566
cortex,64,128,2,static,1,6549.953
cortex,64,128,3,static,1,4949.998
cortex,64,128,4,static,1,4012.337
denver,64,128,1,static,1,9570.843
denver,64,128,2,static,1,4954.366
full_system,64,128,6,static,1,2996.948
cortex,64,256,1,static,1,12726.798
cortex,64,256,2,static,1,6437.238
cortex,64,256,3,static,1,4586.983
cortex,64,256,4,static,1,4677.538
denver,64,256,1,static,1,9609.733
denver,64,256,2,static,1,4881.394
full_system,64,256,6,static,1,2566.211
cortex,64,512,1,static,1,12662.077
cortex,64,512,2,static,1,6966.266
cortex,64,512,3,static,1,5079.154
cortex,64,512,4,static,1,4211.130
denver,64,512,1,static,1,9693.287
denver,64,512,2,static,1,5319.688
full_system,64,512,6,static,1,3264.817
cortex,64,1024,1,static,1,12610.156
cortex,64,1024,2,static,1,7372.407
cortex,64,1024,3,static,1,5924.873
cortex,64,1024,4,static,1,5190.190
denver,64,1024,1,static,1,9684.393
denver,64,1024,2,static,1,5619.562
full_system,64,1024,6,static,1,4063.054
cortex,128,64,1,static,1,12650.012
cortex,128,64,2,static,1,6533.727
cortex,128,64,3,static,1,4758.738
cortex,128,64,4,static,1,3901.058
denver,128,64,1,static,1,9662.478
denver,128,64,2,static,1,5026.073
full_system,128,64,6,static,1,2957.591
cortex,128,128,1,static,1,12633.323
cortex,128,128,2,static,1,6506.664
cortex,128,128,3,static,1,4771.733
cortex,128,128,4,static,1,4026.358
denver,128,128,1,static,1,9659.440
denver,128,128,2,static,1,5006.134
full_system,128,128,6,static,1,3284.258
cortex,128,256,1,static,1,12648.122
cortex,128,256,2,static,1,6418.681
cortex,128,256,3,static,1,5381.083
cortex,128,256,4,static,1,4701.046
denver,128,256,1,static,1,9694.465
denver,128,256,2,static,1,4925.879
full_system,128,256,6,static,1,3425.198
cortex,128,512,1,static,1,12660.149
cortex,128,512,2,static,1,6963.968
cortex,128,512,3,static,1,4827.516
cortex,128,512,4,static,1,4691.943
denver,128,512,1,static,1,9642.202
denver,128,512,2,static,1,5318.504
full_system,128,512,6,static,1,3061.775
cortex,128,1024,1,static,1,12706.448
cortex,128,1024,2,static,1,8031.344
cortex,128,1024,3,static,1,6134.943
cortex,128,1024,4,static,1,5369.770
denver,128,1024,1,static,1,9696.817
denver,128,1024,2,static,1,6164.857
full_system,128,1024,6,static,1,3973.871
cortex,256,64,1,static,1,12699.723
cortex,256,64,2,static,1,6547.628
cortex,256,64,3,static,1,4674.019
cortex,256,64,4,static,1,4004.013
denver,256,64,1,static,1,9681.726
denver,256,64,2,static,1,5016.388
full_system,256,64,6,static,1,2657.949
cortex,256,128,1,static,1,12648.543
cortex,256,128,2,static,1,6520.167
